hour,minute,timestamp,difficulty
12,0,1200,easy
12,5,1205,easy
12,10,1210,easy
12,15,1215,easy
12,20,1220,easy
12,25,1225,hard
12,30,1230,easy
12,35,1235,medium
12,40,1240,medium
12,45,1245,easy
12,50,1250,medium
12,55,1255,hard
1,0,100,easy
1,5,105,easy
1,10,110,easy
1,15,115,easy
1,20,120,easy
1,25,125,hard
1,30,130,easy
1,35,135,medium
1,40,140,medium
1,45,145,easy
1,50,150,medium
1,55,155,hard
2,0,200,easy
2,5,205,easy
2,10,210,easy
2,15,215,easy
2,20,220,easy
2,25,225,hard
2,30,230,easy
2,35,235,medium
2,40,240,medium
2,45,245,easy
2,50,250,medium
2,55,255,hard
3,0,300,easy
3,5,305,easy
3,10,310,easy
3,15,315,easy
3,20,320,easy
3,25,325,hard
3,30,330,easy
3,35,335,medium
3,40,340,medium
3,45,345,easy
3,50,350,medium
3,55,355,hard
4,0,400,easy
4,5,405,easy
4,10,410,easy
4,15,415,easy
4,20,420,easy
4,25,425,hard
4,30,430,easy
4,35,435,medium
4,40,440,medium
4,45,445,easy
4,50,450,medium
4,55,455,hard
5,0,500,easy
5,5,505,easy
5,10,510,easy
5,15,515,easy
5,20,520,easy
5,25,525,hard
5,30,530,easy
5,35,535,medium
5,40,540,medium
5,45,545,easy
5,50,550,medium
5,55,555,hard
6,0,600,easy
6,5,605,easy
6,10,610,easy
6,15,615,easy
6,20,620,easy
6,25,625,hard
6,30,630,easy
6,35,635,medium
6,40,640,medium
6,45,645,easy
6,50,650,medium
6,55,655,hard
7,0,700,easy
7,5,705,easy
7,10,710,easy
7,15,715,easy
7,20,720,easy
7,25,725,hard
7,30,730,easy
7,35,735,medium
7,40,740,medium
7,45,745,easy
7,50,750,medium
7,55,755,hard
8,0,800,easy
8,5,805,easy
8,10,810,easy
8,15,815,easy
8,20,820,easy
8,25,825,hard
8,30,830,easy
8,35,835,medium
8,40,840,medium
8,45,845,easy
8,50,850,medium
8,55,855,hard
9,0,900,easy
9,5,905,easy
9,10,910,easy
9,15,915,easy
9,20,920,easy
9,25,925,hard
9,30,930,easy
9,35,935,medium
9,40,940,medium
9,45,945,easy
9,50,950,medium
9,55,955,hard
10,0,1000,easy
10,5,1005,easy
10,10,1010,easy
10,15,1015,easy
10,20,1020,easy
10,25,1025,hard
10,30,1030,easy
10,35,1035,medium
10,40,1040,medium
10,45,1045,easy
10,50,1050,medium
10,55,1055,hard
11,0,1100,easy
11,5,1105,easy
11,10,1110,easy
11,15,1115,easy
11,20,1120,easy
11,25,1125,hard
11,30,1130,easy
11,35,1135,medium
11,40,1140,medium
11,45,1145,easy
11,50,1150,medium
11,55,1155,hard